iter	Passed	Remaining
639	9644	5425
640	9658	5409
641	9675	5395
642	9690	5380
643	9704	5364
644	9725	5352
645	9751	5343
646	9769	5330
647	9786	5315
648	9802	5301
649	9817	5286
650	9835	5272
651	9852	5258
652	9871	5245
653	9893	5233
654	9909	5219
655	9958	5222
656	9989	5215
657	10008	5201
658	10024	5187
659	10044	5174
660	10063	5161
661	10085	5149
662	10101	5134
663	10117	5119
664	10137	5106
665	10156	5093
666	10171	5077
667	10188	5063
668	10203	5048
669	10220	5033
670	10237	5019
671	10251	5003
672	10265	4987
673	10280	4972
674	10296	4957
675	10312	4942
676	10327	4927
677	10346	4913
678	10363	4899
679	10379	4884
680	10396	4870
681	10412	4855
682	10427	4839
683	10441	4823
684	10457	4808
685	10469	4792
686	10483	4776
687	10500	4761
688	10515	4746
689	10530	4730
690	10545	4715
691	10560	4700
692	10575	4684
693	10590	4669
694	10608	4655
695	10626	4641
696	10643	4626
697	10660	4612
698	10676	4597
699	10695	4583
700	10712	4569
701	10728	4554
702	10746	4540
703	10765	4526
704	10782	4511
705	10799	4497
706	10814	4481
707	10835	4469
708	10853	4454
709	10868	4439
710	10884	4424
711	10900	4409
712	10918	4394
713	10937	4381
714	10958	4368
715	10979	4355
716	10996	4340
717	11013	4325
718	11030	4310
719	11044	4295
720	11062	4280
721	11079	4265
722	11093	4250
723	11109	4235
724	11123	4219
725	11141	4204
726	11157	4189
727	11176	4175
728	11194	4161
729	11209	4145
730	11226	4131
731	11242	4116
732	11259	4101
733	11275	4086
734	11290	4070
735	11306	4055
736	11322	4040
737	11339	4025
738	11355	4010
739	11369	3994
740	11386	3979
741	11399	3963
742	11414	3948
743	11427	3932
744	11442	3916
745	11457	3900
746	11472	3885
747	11486	3869
748	11500	3854
749	11517	3839
750	11530	3822
751	11545	3807
752	11558	3791
753	11573	3776
754	11589	3760
755	11604	3745
756	11621	3730
757	11635	3714
758	11651	3699
759	11667	3684
760	11682	3668
761	11699	3654
762	11716	3639
763	11731	3623
764	11746	3608
765	11762	3593
766	11778	3577
767	11793	3562
768	11807	3546
769	11822	3531
770	11838	3516
771	11852	3500
772	11866	3484
773	11880	3469
774	11894	3453
775	11911	3438
776	11925	3422
777	11937	3406
778	11951	3390
779	11968	3375
780	11983	3360
781	11999	3345
782	12013	3329
783	12027	3313
784	12043	3298
785	12059	3283
786	12075	3268
787	12087	3252
788	12103	3236
789	12120	3221
790	12135	3206
791	12150	3191
792	12166	3175
793	12183	3160
794	12206	3147
795	12225	3133
796	12243	3118
797	12261	3103
798	12283	3089
799	12302	3075
800	12323	3061
801	12345	3048
802	12379	3037
803	12400	3022
804	12419	3008
805	12439	2994
806	12456	2978
